Honest_FPTP_Winner,Honest_FPTP_Top_Two_Ratio,Honest_FPTP_Total_Ratio,Strategic_FPTP_Winner,Strategic_FPTP_Top_Two_Ratio,Strategic_FPTP_Total_Ratio,Approval_Winner,Approval_Top_Two_Ratio,Approval_Total_Ratio,Borda_Winner,Borda_Top_Two_Ratio,Borda_Total_Ratio,Classic_STV_Winner,Classic_STV_Top_Two_Ratio,Classic_STV_Total_Ratio,Complete_STV_Winner,Complete_STV_Top_Two_Ratio,Complete_STV_Total_Ratio
R,0.012128669361926525,0.008091401001792505,R,0.005186911153885118,0.005080574740017465,R,0.0026473008263871497,0.001028170481781236,R,0.004272363150867824,0.0016714876704569197,R,0.0055554441346944506,0.0037598577497862176,R,0.0055554441346944506,0.0037598577497862176
R,0.003204325839883843,0.0021360033375052148,R,0.0017599223206699842,0.001723523118982527,R,0.00044678759717630236,0.00017358820711156167,R,0.0015874238125418328,0.0006219482761821659,R,0.0016213294901819492,0.0010947573287921177,R,0.0016213294901819492,0.0010947573287921177
D,0.012263463423215139,0.008171740513747949,D,0.00835513374297824,0.00819476489776434,D,0.004441976679622432,0.0017231795441912173,D,0.005327520772579601,0.002082506251001205,D,0.0079717274753519,0.0053802057217200395,D,0.0079717274753519,0.0053802057217200395
R,0.018657375848923224,0.012388727766508524,R,0.016860109957238852,0.0165398214178702,R,0.012047109592735772,0.004662037101465411,R,0.010185201711018698,0.00397954439795444,R,0.014890187386661294,0.01002360090063207,R,0.014890187386661294,0.01002360090063207
D,0.004129645851583031,0.002755557040030729,D,0.0033389995143273433,0.0032726407235511125,D,0.006418531267928859,0.0024884440273867862,D,0.003188866233581488,0.0012489872292216582,D,0.003425892535160476,0.002316508168739332,D,0.003425892535160476,0.002316508168739332
D,0.008080909478756242,0.005381915427043289,D,0.011855617691916624,0.011604068390358472,D,0.004392649036306589,0.0017016370442911814,D,0.00652111939943935,0.0025503745427094826,D,0.011890391115403187,0.00802716468590832,D,0.011890391115403187,0.00802716468590832
R,0.005340755227922371,0.0035556891025641025,R,0.003559150657229525,0.003493935243086574,D,1.785108623859762e-05,6.945457323637475e-06,R,0.0010478394970370414,0.00041076529984706536,R,0.0035463124361363226,0.0023963283375979852,R,0.0035463124361363226,0.0023963283375979852
D,0.01229230034438551,0.008186977849955633,D,0.011174319382364892,0.010949849688427004,D,0.005113260508107915,0.0019891500904159133,D,0.005067117077073518,0.0019864826246663056,D,0.010595946598037639,0.007160131518165267,D,0.010595946598037639,0.007160131518165267
R,0.007593223736968725,0.005067567567567568,R,0.0038074407112623286,0.003727644049649046,R,0.007346485333906717,0.0028515788009458895,R,0.0055041518386714115,0.0021557782057327903,R,0.005193503108081011,0.003513770180436847,R,0.005193503108081011,0.003513770180436847
R,0.001426640636732242,0.0009501900380076015,D,-2.0206510537695245e-05,-1.979766783472907e-05,D,0.0033444217906070037,0.0012995316126700857,D,0.0010658897514700396,0.0004176857425292264,D,0.0013409118200376257,0.0009044764836114261,D,0.0013409118200376257,0.0009044764836114261
R,0.00024990628514307136,0.0001667389201987528,R,0.0014150275930380643,0.0013872374157748713,D,0.002215710099349582,0.000861643654758844,D,0.0002722054559441387,0.00010673770138039692,R,0.001260806916426513,0.0008523649745643467,R,0.001260806916426513,0.0008523649745643467
D,0.0004756778409233157,0.0003164715092359711,R,0.0012738080795826761,0.0012480684654701058,D,0.0009284553716499723,0.00036126163679310824,R,0.001486016056077865,0.0005825828613870578,R,0.00078031212484994,0.0005264436705272535,R,0.00078031212484994,0.0005264436705272535
D,0.0021761424747992696,0.001451620976757379,D,0.00024246832757471054,0.0002376425855513308,R,0.0011428979606414515,0.0004446389739955675,R,0.0009053093732063927,0.0003551177575125974,R,0.001060572709263002,0.0007167198571969492,R,0.001060572709263002,0.0007167198571969492
