Honest_FPTP_Winner,Honest_FPTP_Top_Two_Ratio,Honest_FPTP_Total_Ratio,Strategic_FPTP_Winner,Strategic_FPTP_Top_Two_Ratio,Strategic_FPTP_Total_Ratio,Approval_Winner,Approval_Top_Two_Ratio,Approval_Total_Ratio,Borda_Winner,Borda_Top_Two_Ratio,Borda_Total_Ratio,Classic_STV_Winner,Classic_STV_Top_Two_Ratio,Classic_STV_Total_Ratio,Complete_STV_Winner,Complete_STV_Top_Two_Ratio,Complete_STV_Total_Ratio
R,0.005528193788320434,0.0036677058499908306,R,0.0049416720674011665,0.004843287877885627,R,0.0030976382746333866,0.0012015808080457296,R,0.003576703382742851,0.0013997052030501039,R,0.005394565326381229,0.003632141072899367,R,0.005394565326381229,0.003632141072899367
R,0.015991524996216516,0.010616386744587149,R,0.01610768322235119,0.015788108021795973,R,0.006290322580645161,0.002440075635392915,R,0.008230232585778633,0.003218445293401374,R,0.01623082041252495,0.010927700703173785,R,0.01623082041252495,0.010927700703173785
R,0.003706950532247965,0.0024697126455962355,R,0.0060612203527265355,0.005936073059360731,R,0.0007150646239653909,0.0002777392028884877,R,0.0022810624418625317,0.0008936177126636075,R,0.005394565326381229,0.0036431105934613614,R,0.005394565326381229,0.0036431105934613614
R,0.005845312460801284,0.0038894916951840415,R,0.0023869245084553767,0.0023391812865497076,R,0.002111101171840057,0.0008195241204005945,R,0.0024135109171341484,0.0009444075756802287,R,0.0016613955722807158,0.0011214852247699604,R,0.0016613955722807158,0.0011214852247699604
D,0.007418024542345605,0.004921916711158569,D,0.0038058220980606502,0.0037291968341499216,D,0.0026110127510417225,0.0010143397065362383,D,0.0032027709900120994,0.0012533218832321779,D,0.0037470444435538813,0.0025260370935714384,D,0.0037470444435538813,0.0025260370935714384
D,0.005115474309787106,0.00340476667334268,D,0.0002828168558846107,0.00027732107838282196,D,0.003305814659947822,0.0012860439896560355,D,0.0015982289255758065,0.0006267525859347435,R,6.000240009600384e-05,4.059649787544994e-05,R,6.000240009600384e-05,4.059649787544994e-05
R,0.004591068740592072,0.0030522383080926014,R,0.0026702809863856126,0.002617281992306777,R,0.004349849634827438,0.0016887665749311983,R,0.0043448582875797595,0.0016991958996453046,R,0.003827348509137544,0.0025813950345312266,R,0.003827348509137544,0.0025813950345312266
D,0.00742356983422366,0.004947350827344142,D,0.004271687417754834,0.004187089476713035,D,0.004163093196112064,0.0016203285163910485,D,0.0036907364292865564,0.0014469023979562213,D,0.004590558284053322,0.003102686737030363,D,0.004590558284053322,0.003102686737030363
D,0.008460705562410294,0.005604670558798999,D,0.007420623656786018,0.007274751048478464,D,0.004477879276374709,0.0017370882232366817,D,0.0040240732167657845,0.0015736883029466037,D,0.006521259305335393,0.004384781435509984,D,0.006521259305335393,0.004384781435509984
R,0.00542046224497478,0.0036039643607968766,R,0.004759397278029812,0.004663808843375407,R,0.003115264797507788,0.0012085767272575728,R,0.004011536133496326,0.0015691408489609084,R,0.004349481870477641,0.0029321550664126368,R,0.004349481870477641,0.0029321550664126368
R,0.005388876356618292,0.003590094678310819,R,0.003988015709138022,0.003908419966669312,R,0.007677956371986223,0.0029757973120485026,R,0.0034993446142713948,0.0013695259583199862,R,0.004148629148629149,0.002803700342674486,R,0.004148629148629149,0.002803700342674486
R,0.00022500562514062852,0.00015002250337550632,R,0.0009700301113513732,0.0009510977252912737,R,0.0015185350602947745,0.0005905279319711823,R,0.0016388883958418385,0.000643131609802533,R,0.0012207568692589406,0.0008248705223729226,R,0.0012207568692589406,0.0008248705223729226
D,0.0027048687637747947,0.001801110684922369,D,0.006280770711347934,0.006159103552411984,D,0.0004641862458044705,0.00018060446926598177,D,0.0005028514635935541,0.00019727161748801285,D,0.005515222012755204,0.0037255805131817814,D,0.005515222012755204,0.0037255805131817814
R,0.005938063740228503,0.003959899749373433,R,0.0071781977451537025,0.007033718134673846,R,0.0035452103849597134,0.0013754680412084667,R,0.002975696502667457,0.001165282023783824,R,0.006199217574480891,0.004186651491748638,R,0.006199217574480891,0.004186651491748638
D,0.00044949431889124733,0.000300320341697811,R,0.00040412204485754696,0.000396125888807463,D,0.0004105676544091396,0.00015977104115146295,D,0.00045561321396661597,0.00017868787405521687,D,0.0001400112008960717,9.47238798901203e-05,D,0.0001400112008960717,9.47238798901203e-05
D,0.0043270553512918634,0.0028908012365276964,D,0.0022658763074308603,0.002219667842562131,R,0.0005907626208378088,0.0002289980986218478,D,0.0016241175529171877,0.0006357043093327888,D,0.0015812650120096076,0.0010696635298896486,D,0.0015812650120096076,0.0010696635298896486
D,0.006699284907790742,0.0044591412395410595,D,0.008148538533263064,0.007997930883552514,D,0.003490182742388717,0.0013547970236151544,D,0.003616272038510333,0.001416276029876459,D,0.00825400650680805,0.00557499796532921,D,0.00825400650680805,0.00557499796532921
D,0.011610994081653125,0.007760643647334898,D,0.013332520374773896,0.013083366573593937,D,0.010977362558390226,0.004251085383502171,D,0.00861218424962853,0.003367418080409017,D,0.013470250679553005,0.009114689773563313,D,0.013470250679553005,0.009114689773563313
D,0.0009228773820213509,0.0006180056789711041,D,0.0053069740120318416,0.005201715374841169,D,0.004635927543495382,0.0018002112989323844,D,0.0023806421811893735,0.0009332884488142361,D,0.005314135600697856,0.003599809821367928,D,0.005314135600697856,0.003599809821367928
D,0.007643568339535351,0.005073177244129967,D,0.008030011152793268,0.007874642061724467,D,0.00970647337447969,0.003764211463798166,D,0.007578097161183038,0.002965076694636604,D,0.007286522943514393,0.0049051402626885034,D,0.007286522943514393,0.0049051402626885034
R,0.002302763315979175,0.001534484196480694,R,0.0031148237292935015,0.003055313070391239,D,0.0009122945101336243,0.0003540560241591169,D,6.514272178135733e-05,2.5514464381807724e-05,R,0.002062144630415632,0.0013922493613225018,R,0.002062144630415632,0.0013922493613225018
D,0.0019988506608699997,0.0013356484573260317,R,0.00198095854136767,0.0019432877255601824,R,0.0034884344979337735,0.0013550606302769187,R,0.0008876895217128857,0.00034813203951994913,R,0.0021022283620637876,0.00142280278598336,R,0.0021022283620637876,0.00142280278598336
R,0.004694015130708347,0.003145917001338688,R,0.0046582278481012655,0.0045640354010398065,D,0.0014623272403031654,0.0005700699378484726,R,0.0011992249344266168,0.0004715228096255691,R,0.004429834231995029,0.0030099150141643057,R,0.004429834231995029,0.0030099150141643057
D,0.000900720576461169,0.0006000500041670139,R,0.0005049892942269624,0.000495363398589205,D,0.003309422013917461,0.0012854988777942229,D,0.001640334462420352,0.0006429091989397801,R,0.0009004141905276427,0.0006083382901638458,R,0.0009004141905276427,0.0006083382901638458
R,0.005071681438148083,0.00336846318036286,R,0.006668152982427694,0.00653672686813296,R,0.0032906502611059446,0.0012786746259529254,R,0.002424307086800863,0.0009492157945794904,R,0.006803130644190247,0.004582939029336218,R,0.006803130644190247,0.004582939029336218
R,0.008807468733485996,0.005842096478050409,R,0.00846185064935065,0.0082899288298676,R,0.00299052701323353,0.0011598108188819979,R,0.004042574662970372,0.0015805561422361273,R,0.007246231357514201,0.004877982866254088,R,0.007246231357514201,0.004877982866254088
R,0.0010514983851989085,0.0006998367047688873,D,0.0009702065731495331,0.0009509281454920062,D,0.0020172087543289655,0.0007854422109155615,D,0.00013610433876961678,5.3365754963015215e-05,D,0.0006602244763219495,0.0004457411459599643,D,0.0006602244763219495,0.0004457411459599643
R,0.005912416073754885,0.003943388975220145,R,0.008703590992087645,0.008532219570405728,R,0.008108108108108109,0.0031529274200283973,R,0.00447755890122126,0.001756501495117344,R,0.009787764289733901,0.006616578128608888,R,0.009787764289733901,0.006616578128608888
R,0.01066586169597263,0.007087693490689044,R,0.009093492469451549,0.00890921746047529,R,0.00582374655055012,0.0022590152083854643,R,0.0045888987830216684,0.0017944360874329118,R,0.0077298371714819205,0.005210588999566912,R,0.0077298371714819205,0.005210588999566912
D,0.011236521213342739,0.007450593875812299,D,0.006648424039728387,0.006516211061665607,D,0.004553358550095908,0.0017643544824328642,D,0.004345709502380641,0.0016990657459525329,D,0.006843404443195729,0.004609665427509293,D,0.006843404443195729,0.004609665427509293
R,0.002404508453350031,0.0016005868818566808,R,0.0012527024023599297,0.001229085718816906,R,0.003996415770609319,0.001548869255987109,R,0.0023660147772150996,0.0009258356885293831,R,0.0019018257527226136,0.0012849471819079436,R,0.0019018257527226136,0.0012849471819079436
