Strategic_FPTP_Efficiency_Gap,Honest_FPTP_Efficiency_Gap,Approval_Efficiency_Gap,Borda_Efficiency_Gap,Classic_STV_Efficiency_Gap,Complete_STV_Efficiency_Gap,Wasted_Ballot_Efficiency_Gap
-0.4177,-0.2847,-0.6584,-0.6489333333333334,-0.4334,-0.43,-0.1552
-0.3615,-0.2316,-0.65275,-0.6401,-0.3706,-0.3771,-0.1204
-0.4142,-0.2896,-0.66685,-0.6555833333333333,-0.4327,-0.4338,-0.1714
-0.3895,-0.268,-0.65465,-0.6441,-0.4006,-0.4052,-0.142
-0.3731,-0.2528,-0.65735,-0.6421333333333333,-0.3904,-0.3996,-0.1369
-0.4131,-0.286,-0.65895,-0.6508833333333334,-0.4313,-0.4347,-0.1621
-0.3792,-0.2551,-0.65565,-0.6423666666666666,-0.394,-0.4006,-0.1309
-0.3962,-0.2799,-0.65805,-0.6483166666666667,-0.4128,-0.4188,-0.1411
-0.4112,-0.2952,-0.6653,-0.6547,-0.4337,-0.438,-0.1714
-0.3833,-0.2653,-0.65865,-0.6446833333333334,-0.3989,-0.4092,-0.1387
-0.3932,-0.2743,-0.6596,-0.6480833333333333,-0.4054,-0.4195,-0.1483
-0.377,-0.2641,-0.66105,-0.6480666666666667,-0.3885,-0.4049,-0.1435
-0.3892,-0.2693,-0.65545,-0.645,-0.4046,-0.4091,-0.1354
-0.3816,-0.2495,-0.65785,-0.6453333333333333,-0.3959,-0.3971,-0.1345
-0.4045,-0.2838,-0.66375,-0.6521333333333333,-0.4167,-0.4238,-0.1636
-0.413,-0.2857,-0.65995,-0.6521666666666667,-0.43,-0.4276,-0.1618
-0.4037,-0.2732,-0.66545,-0.65215,-0.424,-0.4219,-0.157
-0.3976,-0.2832,-0.6613,-0.6489166666666667,-0.4113,-0.4252,-0.1531
-0.374,-0.2505,-0.65595,-0.6445666666666666,-0.3886,-0.3963,-0.1279
-0.3764,-0.2632,-0.6547,-0.6420833333333333,-0.3955,-0.402,-0.1321
-0.4299,-0.2949,-0.6647,-0.6580833333333334,-0.4468,-0.4475,-0.1708
-0.397,-0.2655,-0.66815,-0.6523666666666667,-0.4196,-0.4211,-0.1642
-0.3848,-0.2667,-0.6633,-0.6501166666666667,-0.4072,-0.4186,-0.1474
-0.3962,-0.26,-0.6627,-0.6507333333333334,-0.4015,-0.4021,-0.1591
-0.4104,-0.283,-0.66145,-0.6539333333333334,-0.4309,-0.4337,-0.1585
-0.4064,-0.2757,-0.66435,-0.6526333333333333,-0.4262,-0.4257,-0.1669
-0.3937,-0.271,-0.65745,-0.6469666666666667,-0.4084,-0.4183,-0.1471
-0.4051,-0.2882,-0.654,-0.64435,-0.4223,-0.4257,-0.1414
-0.4,-0.2843,-0.66335,-0.6500166666666667,-0.42,-0.4253,-0.154
-0.3912,-0.2611,-0.65765,-0.6453833333333333,-0.4084,-0.4067,-0.1477
-0.369,-0.2424,-0.65855,-0.64605,-0.3817,-0.3879,-0.1423
-0.4089,-0.2789,-0.66285,-0.6530333333333334,-0.4284,-0.4318,-0.1639
-0.4165,-0.2948,-0.6697,-0.6557166666666666,-0.4471,-0.4442,-0.1705
-0.4012,-0.2756,-0.6672,-0.65285,-0.423,-0.4221,-0.1645
-0.4245,-0.2968,-0.66725,-0.6538666666666667,-0.435,-0.4349,-0.1741
-0.4259,-0.2942,-0.6677,-0.6563666666666667,-0.4458,-0.4446,-0.1657
-0.3789,-0.2507,-0.6542,-0.6404666666666666,-0.3892,-0.3941,-0.1321
-0.3968,-0.2715,-0.65625,-0.6494,-0.4187,-0.4182,-0.1417
-0.3943,-0.2807,-0.6577,-0.6457,-0.4097,-0.4197,-0.1489
-0.3928,-0.2546,-0.658,-0.6465666666666666,-0.4004,-0.4001,-0.1408
-0.4052,-0.2776,-0.66395,-0.6512333333333333,-0.4232,-0.4222,-0.1558
-0.4222,-0.298,-0.65965,-0.6525,-0.4417,-0.4444,-0.1582
-0.4018,-0.2687,-0.6629,-0.6528666666666667,-0.4109,-0.4165,-0.1576
-0.4366,-0.3161,-0.66945,-0.6589666666666667,-0.4517,-0.4601,-0.1852
-0.4161,-0.2978,-0.66725,-0.65465,-0.4323,-0.44,-0.1759
-0.4017,-0.2763,-0.6593,-0.6490333333333334,-0.4157,-0.4248,-0.1528
-0.3962,-0.2691,-0.65635,-0.6481166666666667,-0.4134,-0.4188,-0.1426
-0.3924,-0.2701,-0.66335,-0.6483666666666666,-0.4128,-0.419,-0.1492
-0.411,-0.276,-0.6558,-0.64745,-0.4278,-0.4232,-0.1417
-0.4065,-0.2813,-0.66785,-0.6556,-0.4298,-0.4323,-0.1666
