Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
290,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
291,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
292,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
294,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
297,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
298,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
300,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
301,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F."
302,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
304,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce"
305,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
308,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
309,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
311,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S."
313,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
314,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
315,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
316,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
317,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.",undervote
319,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
321,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
327,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
328,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
330,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
331,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
335,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
337,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
338,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
342,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
345,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
346,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
347,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
350,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
353,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
