Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
5429,undervote,undervote,undervote,undervote
5430,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5431,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5432,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5433,"DEM Golden, Jared F. (5471)",undervote,"Hoar, William R.S.",undervote
5434,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5440,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5445,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5448,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
5449,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5450,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5452,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5453,undervote,undervote,undervote,undervote
5454,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5459,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5460,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5464,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
5465,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5466,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5468,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5473,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
5475,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5476,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5477,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5478,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5481,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5482,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
5485,undervote,undervote,undervote,undervote
5486,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5488,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
5489,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5490,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
5493,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5494,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5496,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5498,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5499,undervote,undervote,undervote,undervote
5500,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5503,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5505,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5507,undervote,undervote,undervote,undervote
5509,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5510,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5512,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5513,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
5514,"Hoar, William R.S.",undervote,undervote,undervote
5516,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5519,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5522,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5523,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5529,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5531,undervote,undervote,undervote,undervote
5532,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
5535,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,undervote
5540,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5541,"Hoar, William R.S.",undervote,undervote,undervote
5542,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5544,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5545,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5546,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5547,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5548,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5550,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5551,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
5552,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
5553,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5559,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
5560,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5561,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote
5571,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5572,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5573,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5576,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5577,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
5582,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5583,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
5587,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5588,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5589,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L."
5591,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5596,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5598,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5601,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
5602,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5603,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5604,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5606,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5607,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5609,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
5610,"Bond, Tiffany L.",undervote,undervote,undervote
5611,"REP Poliquin, Bruce (5931)",undervote,"Hoar, William R.S.","Bond, Tiffany L."
5612,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5615,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5620,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5621,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
5622,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5623,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5625,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5626,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5628,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5630,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5633,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
5636,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5639,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5640,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5645,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5646,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S."
5648,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5649,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5650,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5652,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,undervote
5653,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5655,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5658,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
5660,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5662,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5663,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
5665,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5669,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L."
5670,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5672,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5673,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5678,"Hoar, William R.S.","DEM Golden, Jared F.",undervote,undervote
5681,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5682,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5685,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5687,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
5690,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5691,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5692,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5696,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5697,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5698,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5700,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5701,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5702,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5704,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5707,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5709,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
5712,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5715,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
5716,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5718,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5719,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
5721,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5723,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5725,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5726,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5727,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5729,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5731,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5732,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5733,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5734,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5735,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5736,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5741,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
5744,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5745,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5747,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5752,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
5754,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5755,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5756,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5759,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
5760,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5761,"Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F."
5762,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5763,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5766,"Bond, Tiffany L.","Bond, Tiffany L.","Bond, Tiffany L.",undervote
5770,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5773,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5775,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5777,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5781,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5782,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5785,"Bond, Tiffany L.",undervote,undervote,undervote
5789,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5790,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5792,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L."
5793,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5794,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5796,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5799,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5800,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
5802,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5803,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5804,"Hoar, William R.S.",undervote,undervote,undervote
5805,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5807,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5809,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5810,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
5811,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5812,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5817,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
5820,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5822,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5827,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
5830,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5832,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5834,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5836,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5843,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5848,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5849,"Hoar, William R.S.",undervote,undervote,undervote
5850,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5851,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5852,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5854,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5855,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5856,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5860,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5867,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5871,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5872,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5873,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
5875,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5876,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5878,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5880,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5881,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
5882,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5884,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5885,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5887,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5888,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5889,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5892,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
5893,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S."
5895,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5898,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5900,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5901,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5902,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5907,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5910,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5912,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5914,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5915,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5916,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5919,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
5922,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5924,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5925,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L."
5927,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5929,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5930,"REP Poliquin, Bruce (5931)",undervote,"Bond, Tiffany L.","Hoar, William R.S."
5934,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5936,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5937,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
5938,"REP Poliquin, Bruce (5931)",undervote,"Hoar, William R.S.","Bond, Tiffany L."
5939,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5941,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,undervote
5943,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5947,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5949,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5950,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5952,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5955,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
5956,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F."
5957,"Bond, Tiffany L.",undervote,undervote,undervote
5958,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5959,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
5962,"Hoar, William R.S.",undervote,undervote,undervote
5966,"Hoar, William R.S.",undervote,undervote,undervote
5967,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5970,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5974,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
5975,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5976,"Bond, Tiffany L.","REP Poliquin, Bruce",undervote,undervote
5982,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
5983,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5989,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5990,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
5991,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5992,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5993,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
5995,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
5998,undervote,undervote,undervote,undervote
6000,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
6001,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6005,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6008,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
6013,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,undervote
6014,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6016,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6017,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6019,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
6021,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
6022,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
6023,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6027,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6030,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
6031,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
6032,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,undervote
6033,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6036,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6044,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6046,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6048,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
6049,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6050,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
6051,"Hoar, William R.S.",undervote,undervote,undervote
6052,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6055,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6056,"DEM Golden, Jared F. (5471)",undervote,undervote,"REP Poliquin, Bruce"
6058,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6060,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
6061,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
6062,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6063,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6066,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6068,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6069,"Bond, Tiffany L.",undervote,undervote,undervote
6070,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
6071,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
6072,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
6075,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6076,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
6078,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,undervote
6083,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6084,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
6086,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6088,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6089,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
6091,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
6092,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6093,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6095,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6097,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6098,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6101,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6104,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
6105,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,undervote
6107,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6108,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6109,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
6110,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6112,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
6114,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
6115,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6116,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6118,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
6119,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote
6120,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
6123,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6124,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
6125,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6126,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6133,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6134,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6136,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6137,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6139,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6141,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6143,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6145,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6154,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
6156,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
6157,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
6158,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
6160,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
